2023-03-16 18:45:50,445 - INFO - Rank 1 | Client Args: Namespace(dataset='./dist/repgnn_data/ogbn_products0/', sampling='10-10', hidden_size=256, n_classes=60, batch_size=8000, dropout=0.2, lr=0.03, weight_decay=0, model_name='gcn', epoch=1, num_worker=1, cache_size=0, seed=None, log=True, dist_url='tcp://10.214.242.140:23456', world_size=2, rank=1, gpu=0, grpc_port='10.214.243.19:18110', mlp_layers=1, block='res+', conv='gen', gcn_aggr='max', norm='batch', t=1.0, p=1.0, y=0.0, learn_t=False, learn_p=False, learn_y=False, msg_norm=False, learn_msg_scale=False, distributed=True)
2023-03-16 18:45:50,470 - INFO - Rank 1 | Added key: store_based_barrier_key:1 to store for rank: 1
2023-03-16 18:45:50,470 - INFO - Rank 1 | Rank 1: Completed store-based barrier for key:store_based_barrier_key:1 with 2 nodes.
2023-03-16 18:45:50,472 - INFO - Rank 1 | Using 2 distributed GPUs in total for training...
2023-03-16 18:46:45,552 - INFO - Rank 1 | Reducer buckets have been rebuilt in this iteration.
2023-03-16 19:03:06,407 - INFO - Rank 1 | rank: 1, iter_num: 100
2023-03-16 19:03:06,409 - INFO - Rank 1 | Epoch miss rate ( miss_num/try_num ) for epoch 0 on rank 1: 90444810 / 190412650 = 0.47499370446238737
2023-03-16 19:03:06,410 - INFO - Rank 1 | Up to now, total_local_feats_gather_time = 19.905 s, total_remote_feats_gather_time = 450.958 s
2023-03-16 19:03:06,410 - INFO - Rank 1 | => cur_epoch 0 finished on rank 1
2023-03-16 19:04:05,405 - INFO - Rank 1 | -------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      total epochs time         1.03%       10.545s        99.86%     1021.276s     1021.276s       10.551s         1.03%     1021.270s     1021.270s             1  
                                             fetch feat         0.18%        1.861s        61.44%      628.372s        6.284s        1.886s         0.18%      628.368s        6.284s           100  
                           fetch feat from cache server        58.24%      595.572s        59.61%      609.660s        1.524s      596.242s        58.31%      609.654s        1.524s           400  
                        gpu-compute with optimizer.step         0.02%     169.092ms        37.37%      382.184s        3.822s     174.268ms         0.02%      382.181s        3.822s           100  
                                           DDP backward        30.69%      313.865s        30.69%      313.874s        3.139s      313.853s        30.69%      313.856s        3.139s           100  
                                            DDP forward         0.00%       6.017ms         6.63%       67.779s     677.787ms       9.086ms         0.00%       67.778s     677.777ms           100  
                        DistributedDataParallel.forward         6.08%       62.172s         6.63%       67.767s     677.670ms       62.031s         6.07%       67.765s     677.647ms           100  
                                            aten::copy_         1.21%       12.385s         2.06%       21.044s       1.042ms       20.912s         2.04%       20.912s       1.035ms         20201  
                             move feats from CPU to GPU         0.26%        2.666s         1.10%       11.226s      28.065ms        2.674s         0.26%       11.223s      28.058ms           400  
                                               aten::to         0.00%      11.052ms         0.87%        8.912s       7.420ms      16.446ms         0.00%        8.905s       7.415ms          1201  
                                         aten::_to_copy         0.00%      18.314ms         0.87%        8.895s       8.086ms      29.143ms         0.00%        8.888s       8.080ms          1100  
