2023-03-16 18:44:48,002 - INFO - Rank 0 | Client Args: Namespace(dataset='./dist/repgnn_data/ogbn_products0/', sampling='10-10', hidden_size=256, n_classes=60, batch_size=8000, dropout=0.2, lr=0.03, weight_decay=0, model_name='gcn', epoch=1, num_worker=1, cache_size=0, seed=None, log=True, dist_url='tcp://10.214.242.140:23456', world_size=2, rank=0, gpu=0, grpc_port='10.214.242.140:18110', mlp_layers=1, block='res+', conv='gen', gcn_aggr='max', norm='batch', t=1.0, p=1.0, y=0.0, learn_t=False, learn_p=False, learn_y=False, msg_norm=False, learn_msg_scale=False, distributed=True)
2023-03-16 18:44:48,504 - INFO - Rank 0 | Added key: store_based_barrier_key:1 to store for rank: 0
2023-03-16 18:44:48,504 - INFO - Rank 0 | Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 2 nodes.
2023-03-16 18:44:48,505 - INFO - Rank 0 | Using 2 distributed GPUs in total for training...
2023-03-16 18:45:43,585 - INFO - Rank 0 | Reducer buckets have been rebuilt in this iteration.
2023-03-16 19:02:04,427 - INFO - Rank 0 | rank: 0, iter_num: 100
2023-03-16 19:02:04,430 - INFO - Rank 0 | Epoch miss rate ( miss_num/try_num ) for epoch 0 on rank 0: 99876247 / 190371031 = 0.5246399437737982
2023-03-16 19:02:04,430 - INFO - Rank 0 | Up to now, total_local_feats_gather_time = 25.976 s, total_remote_feats_gather_time = 530.803 s
2023-03-16 19:02:04,431 - INFO - Rank 0 | => cur_epoch 0 finished on rank 0
2023-03-16 19:03:06,561 - INFO - Rank 0 | -------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      total epochs time         2.08%       21.338s        99.74%     1021.396s     1021.396s       21.368s         2.09%     1021.419s     1021.419s             1  
                                             fetch feat         0.22%        2.269s        80.00%      819.237s        8.192s        2.312s         0.23%      819.254s        8.193s           100  
                           fetch feat from cache server        72.29%      740.324s        74.81%      766.083s        1.915s      741.908s        72.45%      766.096s        1.915s           400  
                        gpu-compute with optimizer.step         0.01%      77.329ms        17.62%      180.405s        1.804s      85.279ms         0.01%      180.408s        1.804s           100  
                                            DDP forward         0.00%      12.529ms        17.25%      176.606s        1.766s      16.424ms         0.00%      176.609s        1.766s           100  
                        DistributedDataParallel.forward        16.22%      166.097s        17.24%      176.580s        1.766s      170.137s        16.61%      176.583s        1.766s           100  
                                            aten::copy_         2.08%       21.330s         6.08%       62.273s       3.083ms       61.960s         6.05%       61.960s       3.067ms         20200  
                             move feats from CPU to GPU         0.31%        3.157s         4.27%       43.778s     109.446ms        3.174s         0.31%       43.773s     109.433ms           400  
                                               aten::to         0.00%      15.555ms         4.04%       41.339s      34.420ms      26.286ms         0.00%       41.328s      34.411ms          1201  
                                         aten::_to_copy         0.00%      28.262ms         4.03%       41.312s      37.556ms      49.833ms         0.00%       41.302s      37.547ms          1100  
                                          create frames         0.65%        6.672s         0.65%        6.706s      16.765ms        6.686s         0.65%        6.703s      16.757ms           400  
